# comment: .
# curie_map:
#   CL: http://purl.obolibrary.org/obo/CL_
#   GO: http://purl.obolibrary.org/obo/GO_
#   LMHA: http://purl.obolibrary.org/obo/LMHA_
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   dc: http://purl.org/dc/elements/1.1/
#   dcterms: http://purl.org/dc/terms/
#   foaf: http://xmlns.com/foaf/0.1/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   sio: http://semanticscience.org/resource/SIO_
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2021-06-30'
# mapping_tool: https://github.com/cmungall/rdf_matcher
# object_match_field: oio:hasDbXref
# object_source: CL
# subject_match_field: oio:hasDbXref
# subject_source: LMHA
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
LMHA:00179	granulocyte	Cell	owl:equivalentClass	CL:0000094	granulocyte	cell	Lexical	LMHA	CL	rdf_matcher	0.9783871579831969	oio:hasDbXref	dc:identifier	CL:0000094	.
LMHA:00613	megakaryocyte	Cell	owl:equivalentClass	CL:0000556	megakaryocyte	cell	Lexical	LMHA	CL	rdf_matcher	0.9784551651867306	oio:hasDbXref	dc:identifier	CL:0000556	.
LMHA:00626	lymphoid tissue	AnatomicalSystem	owl:equivalentClass	UBERON:0001744	lymphoid tissue	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784173947746884	oio:hasDbXref	dc:identifier	UBERON:0001744	.
LMHA:00224	lymph node	AnatomicalSystem	owl:equivalentClass	UBERON:0000029	lymph node	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784524186574425	oio:hasDbXref	dc:identifier	UBERON:0000029	.
LMHA:00141	chondrocyte	Cell	owl:equivalentClass	CL:0000138	chondrocyte	cell	Lexical	LMHA	CL	rdf_matcher	0.6511469307709719	rdfs:label	rdfs:label	chondrocyte	.
LMHA:00668	platelet	Cell	owl:equivalentClass	CL:0000233	platelet	cell	Lexical	LMHA	CL	rdf_matcher	0.9784682415360771	oio:hasDbXref	dc:identifier	CL:0000233	.
LMHA:00326	right lung	AnatomicalStructure	owl:equivalentClass	UBERON:0002167	right lung	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784065736319031	oio:hasDbXref	dc:identifier	UBERON:0002167	.
LMHA:00354	T lymphocyte	Cell	owl:equivalentClass	CL:0000084	T cell	cell	Lexical	LMHA	CL	rdf_matcher	0.9784437078074625	oio:hasDbXref	dc:identifier	CL:0000084	.
LMHA:00273	pericyte	Cell	owl:equivalentClass	CL:0000669	pericyte cell	cell	Lexical	LMHA	CL	rdf_matcher	0.9784739779698095	oio:hasDbXref	dc:identifier	CL:0000669	.
LMHA:00142	ciliated cell	Cell	owl:equivalentClass	CL:0000064	ciliated cell	cell	Lexical	LMHA	CL	rdf_matcher	0.978400216479791	oio:hasDbXref	dc:identifier	CL:0000064	.
