# comment: .
# curie_map:
#   LMHA: http://purl.obolibrary.org/obo/LMHA_
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   dc: http://purl.org/dc/elements/1.1/
#   dcterms: http://purl.org/dc/terms/
#   foaf: http://xmlns.com/foaf/0.1/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2021-06-28'
# mapping_tool: https://github.com/cmungall/rdf_matcher
# object_match_field: dc:identifier
# object_source: UBERON
# subject_match_field: oio:hasDbXref
# subject_source: LMHA
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
LMHA:00331	right lung middle lobar bronchus	Respiratory_System	owl:equivalentClass	UBERON:0012063	lobar bronchus of right lung middle lobe	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784127746176227	oio:hasDbXref	dc:identifier	UBERON:0012063	.
LMHA:00030	right middle lobe bronchiole	Respiratory_System	owl:equivalentClass	UBERON:0012068	right lung middle lobe bronchiole	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.978404947905888	oio:hasDbXref	dc:identifier	UBERON:0012068	.
LMHA:00329	right lung main bronchus	Respiratory_System	owl:equivalentClass	UBERON:0002177	right main bronchus	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.978471331117601	oio:hasDbXref	dc:identifier	UBERON:0002177	.
LMHA:00325	right lung lower lobar bronchus	Respiratory_System	owl:equivalentClass	UBERON:0005245	lobar bronchus of right lung caudal lobe	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.5000370288403049	oio:hasDbXref	oio:hasDbXref	EHDAA2:0001744	.
LMHA:00205	left lung main bronchus	Respiratory_System	owl:equivalentClass	UBERON:0002178	left main bronchus	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784291120302115	oio:hasDbXref	dc:identifier	UBERON:0002178	.
LMHA:00626	lymphoid tissue	Respiratory_System	owl:equivalentClass	UBERON:0001744	lymphoid tissue	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784698722489065	oio:hasDbXref	dc:identifier	UBERON:0001744	.
LMHA:00532	left lung upper lobe	Respiratory_System	owl:equivalentClass	UBERON:0008952	upper lobe of left lung	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784231432726264	oio:hasDbXref	dc:identifier	UBERON:0008952	.
LMHA:00224	lymph node	Respiratory_System	owl:equivalentClass	UBERON:0000029	lymph node	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784225806052168	oio:hasDbXref	dc:identifier	UBERON:0000029	.
LMHA:00326	right lung	Respiratory_System	owl:equivalentClass	UBERON:0002167	right lung	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784164926217864	oio:hasDbXref	dc:identifier	UBERON:0002167	.
LMHA:00534	left upper lobe bronchiole	Respiratory_System	owl:equivalentClass	UBERON:0012056	left lung upper lobe bronchiole	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784333009319641	oio:hasDbXref	dc:identifier	UBERON:0012056	.
LMHA:00201	left lower lobe bronchiole	Respiratory_System	owl:equivalentClass	UBERON:0012055	left lung lower lobe bronchiole	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9783923814621632	oio:hasDbXref	dc:identifier	UBERON:0012055	.
LMHA:00333	right lung upper lobar bronchus	Respiratory_System	owl:equivalentClass	UBERON:0005244	lobar bronchus of right lung cranial lobe	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.5000634278291016	oio:hasDbXref	oio:hasDbXref	EHDAA2:0001752	.
LMHA:00528	left lung lower lobar bronchus	Respiratory_System	owl:equivalentClass	UBERON:0012066	lobar bronchus of left lung lower lobe	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9783863393100916	oio:hasDbXref	dc:identifier	UBERON:0012066	.
LMHA:00332	right lung upper lobe	Respiratory_System	owl:equivalentClass	UBERON:0002170	upper lobe of right lung	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.5000279219092961	oio:hasDbXref	oio:hasDbXref	EHDAA2:0001747	.
LMHA:00320	reticular fiber	general_tissue_structures	owl:equivalentClass	UBERON:0006804	reticular tissue	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784463389532905	oio:hasDbXref	dc:identifier	UBERON:0006804	.
LMHA:00191	internal elastic membrane	general_tissue_structures	owl:equivalentClass	UBERON:0011392	blood vessel internal elastic membrane	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784079812737506	oio:hasDbXref	dc:identifier	UBERON:0011392	.
LMHA:00039	right upper lobe bronchiole	Respiratory_System	owl:equivalentClass	UBERON:0005681	right lung upper lobe bronchiole	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784349436407447	oio:hasDbXref	dc:identifier	UBERON:0005681	.
LMHA:00415	tracheal mucosa	Respiratory_System	owl:equivalentClass	UBERON:0000379	tracheal mucosa	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784563734343241	oio:hasDbXref	dc:identifier	UBERON:0000379	.
LMHA:00183	hyaline cartilage	general_tissue_structures	owl:equivalentClass	UBERON:0001994	hyaline cartilage tissue	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.4482248176737906	rdfs:label	oio:hasExactSynonym	hyaline cartilage	.
LMHA:00183	hyaline cartilage	general_tissue_structures	owl:equivalentClass	UBERON:0010996	articular cartilage of joint	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.28887687872023093	rdfs:label	oio:hasRelatedSynonym	hyaline cartilage	.
LMHA:00199	left lung	Respiratory_System	owl:equivalentClass	UBERON:0002168	left lung	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784324321405101	oio:hasDbXref	dc:identifier	UBERON:0002168	.
LMHA:00098	bronchial artery	Respiratory_System	owl:equivalentClass	UBERON:0002040	bronchial artery	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784469237757006	oio:hasDbXref	dc:identifier	UBERON:0002040	.
LMHA:00359	terminal bronchiole	Respiratory_System	owl:equivalentClass	UBERON:0002187	terminal bronchiole	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9784761380311849	oio:hasDbXref	dc:identifier	UBERON:0002187	.
LMHA:00531	left lung upper lobar bronchus	Respiratory_System	owl:equivalentClass	UBERON:0012065	lobar bronchus of left lung upper lobe	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.9783866580018741	oio:hasDbXref	dc:identifier	UBERON:0012065	.
LMHA:00361	trachea	Respiratory_System	owl:equivalentClass	UBERON:0003127	open tracheal system trachea	uberon	Lexical	LMHA	UBERON	rdf_matcher	0.16883842217800896	rdfs:label	oio:hasBroadSynonym	trachea	.
